path_id,path_index,link_order,link_id,link_index
OD006_P01,31,7,14110,1224
OD006_P01,31,8,14111,1225
OD006_P01,31,9,14104,1411
OD006_P01,31,10,12219,1217
OD006_P01,31,11,14794,1219
OD006_P01,31,12,14355,1222
OD006_P01,31,13,14360,3922
OD006_P01,31,14,15504,2363
OD006_P01,31,15,14254,2354
OD006_P01,31,16,16798,1278
OD006_P01,31,17,16799,265
OD006_P01,31,18,16782,1279
OD006_P01,31,19,16800,2673
OD006_P01,31,20,16801,2675
OD006_P01,31,21,16784,5064
OD006_P01,31,22,16618,1150
OD006_P01,31,23,16889,1152
OD006_P01,31,24,16819,853
OD006_P01,31,25,16908,847
OD006_P01,31,26,16907,849
OD006_P01,31,27,16897,852
OD006_P01,31,28,16918,3758
OD006_P01,31,29,16924,4732
OD006_P01,31,30,16621,3732
OD006_P01,31,31,17113,3733
